                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0976,                 3.5595,                 1.1262,                0.00657,                0.98077,                0.30484,                 0.2343,                0.71154,                 3.2731,                0.90061,                 0.0757,                 0.0027,                 0.0027
                      1,                0.93335,                 2.2253,                  1.087,                0.00586,                0.98077,                0.65033,                0.51436,                0.76424,                 2.9766,                0.96655,               0.050228,              0.0052277,              0.0052277
                      2,                  0.981,                 1.4691,                 1.1057,                      1,                0.29324,                0.92963,                0.68981,                0.95637,                 2.6372,                 1.1958,               0.024478,              0.0074783,              0.0074783
                      3,                 1.0173,                 1.3462,                 1.1134,                0.95816,                   0.87,                0.95073,                0.73065,                0.88092,                 1.5552,                  1.139,               0.008515,               0.008515,               0.008515
                      4,                0.95507,                 1.1821,                 1.1124,                 0.9432,                0.97357,                0.97263,                 0.7743,                0.92034,                 1.1581,                  1.163,               0.008515,               0.008515,               0.008515
                      5,                  0.956,                 1.1222,                  1.132,                0.97451,                0.89667,                0.96309,                0.73856,                0.89227,                 1.1161,                 1.1717,                0.00802,                0.00802,                0.00802
                      6,                0.92988,                 1.0975,                 1.1047,                0.98558,                0.98077,                0.97904,                0.79096,                0.82448,                0.88673,                 1.1283,               0.007525,               0.007525,               0.007525
                      7,                0.89568,                0.99767,                 1.0703,                0.96537,                0.96133,                0.97678,                0.76318,                0.84409,                0.87919,                 1.0958,                0.00703,                0.00703,                0.00703
                      8,                0.94054,                 0.9643,                 1.1141,                0.98387,                0.96669,                0.97755,                0.77795,                0.80992,                0.82651,                 1.0797,               0.006535,               0.006535,               0.006535
                      9,                0.89662,                0.90656,                 1.0751,                0.98567,                0.97351,                0.97756,                0.80097,                0.77936,                0.75396,                 1.0806,                0.00604,                0.00604,                0.00604
                     10,                0.75365,                0.90532,                 1.0331,                0.98599,                0.98575,                  0.995,                0.78803,                0.82528,                0.66774,                 1.1037,               0.005545,               0.005545,               0.005545
                     11,                0.75625,                0.85332,                 1.0274,                 0.9731,                0.98077,                0.97765,                0.80147,                0.80786,                0.65915,                 1.1015,                0.00505,                0.00505,                0.00505
                     12,                0.72901,                0.79353,                 1.0351,                0.98868,                 0.9884,                  0.995,                0.79393,                 0.7971,                0.57864,                  1.097,               0.004555,               0.004555,               0.004555
                     13,                0.70162,                0.74994,                0.98634,                0.98171,                0.98077,                0.97755,                0.79018,                0.84225,                0.58072,                 1.1163,                0.00406,                0.00406,                0.00406
                     14,                0.70025,                0.72085,                0.99778,                0.97468,                0.98805,                  0.995,                0.79541,                0.80183,                0.56769,                 1.0732,               0.003565,               0.003565,               0.003565
                     15,                0.65048,                0.68219,                 0.9762,                0.96992,                0.97579,                0.97756,                 0.8095,                 0.8135,                0.59091,                 1.0989,                0.00307,                0.00307,                0.00307
                     16,                0.64638,                0.64077,                0.96009,                0.98012,                0.97545,                0.97757,                0.78939,                0.81875,                0.55387,                 1.1081,               0.002575,               0.002575,               0.002575
                     17,                 0.6339,                0.62409,                0.96349,                0.98702,                0.98077,                0.97758,                0.81649,                0.78876,                0.53676,                 1.0892,                0.00208,                0.00208,                0.00208
                     18,                0.59844,                 0.6114,                0.94545,                0.97978,                0.98077,                 0.9776,                0.79839,                0.78508,                 0.5148,                 1.0867,               0.001585,               0.001585,               0.001585
                     19,                0.59255,                0.57178,                0.93173,                0.97734,                0.97846,                 0.9776,                0.80159,                0.76323,                0.51849,                 1.0791,                0.00109,                0.00109,                0.00109
